PosX,PosY,VelX,VelY,Angulo,VelAng,FootL,FootR,Action
0.0020671845,1.4131019,0.098548606,0.03570636,-0.0004413868,0.015919847,0.0,0.0,1
0.003143406,1.4132977,0.10892756,0.008701218,-0.0017279922,-0.025734365,0.0,0.0,3
0.004313946,1.4128982,0.1207306,-0.017764637,-0.0053789327,-0.07302567,0.0,0.0,3
0.0054844855,1.4118989,0.12074174,-0.04443387,-0.009028732,-0.07300234,0.0,0.0,0
0.0066551208,1.4102995,0.120752595,-0.07110301,-0.012678455,-0.07300117,0.0,0.0,0
0.0077059744,1.4095378,0.109404996,-0.033897176,-0.016957927,-0.0855973,0.0,0.0,2
0.008694744,1.4093645,0.10357244,-0.007753709,-0.021595852,-0.09276669,0.0,0.0,2
0.009818077,1.4095852,0.11644256,0.009739741,-0.02566199,-0.08133035,0.0,0.0,2
0.010922146,1.4102273,0.11468668,0.02845542,-0.029903308,-0.084833935,0.0,0.0,2
0.012018013,1.4110045,0.11398621,0.034450483,-0.034251943,-0.086980455,0.0,0.0,2
0.013114166,1.4111819,0.11399867,0.007778598,-0.03859988,-0.08696657,0.0,0.0,0
0.014120388,1.4107667,0.102735475,-0.018512111,-0.040683344,-0.041672945,0.0,0.0,1
0.015126705,1.4097514,0.10274104,-0.04518113,-0.04276745,-0.0416859,0.0,0.0,0
0.016181946,1.4090086,0.10751645,-0.03307229,-0.044737946,-0.039413605,0.0,0.0,2
0.017307471,1.4087956,0.1143776,-0.009524202,-0.0465362,-0.03596861,0.0,0.0,2
0.018365383,1.4079876,0.105875805,-0.035907406,-0.046626408,-0.0018041581,0.0,0.0,1
0.019487286,1.4065725,0.11392214,-0.06295641,-0.04833458,-0.034166344,0.0,0.0,3
0.020534802,1.404565,0.104574345,-0.08921146,-0.04816201,0.0034516123,0.0,0.0,1
0.021539401,1.4031843,0.10067721,-0.06137131,-0.04837435,-0.004247198,0.0,0.0,2
0.022462368,1.4012016,0.09043951,-0.08806359,-0.046537466,0.036740933,0.0,0.0,1
0.023292923,1.3986368,0.07884127,-0.113863006,-0.042366713,0.0834226,0.0,0.0,1
0.024034595,1.3954713,0.06770149,-0.14051588,-0.03596979,0.1279498,0.0,0.0,1
0.0248559,1.391704,0.077691324,-0.16734298,-0.031579956,0.08780472,0.0,0.0,3
0.02559042,1.3873514,0.06680049,-0.19332501,-0.02500327,0.1315457,0.0,0.0,1
0.026405811,1.3823783,0.07694644,-0.22095302,-0.020470308,0.090659134,0.0,0.0,3
0.027123546,1.3768034,0.064694636,-0.24769433,-0.013484861,0.13970904,0.0,0.0,1
0.027971745,1.3712661,0.07716196,-0.24605529,-0.0059220362,0.15125647,0.0,0.0,2
0.028819943,1.3651295,0.07716189,-0.2727267,0.0016407585,0.15125594,0.0,0.0,0
0.029656123,1.3589666,0.07600467,-0.27393088,0.009150508,0.15019502,0.0,0.0,2
0.030492306,1.3522044,0.0760047,-0.30060232,0.016660236,0.1501945,0.0,0.0,0
0.03132839,1.3448431,0.07600479,-0.3272737,0.024169918,0.1501939,0.0,0.0,0
0.032254696,1.336895,0.08733121,-0.35334906,0.02940652,0.10473205,0.0,0.0,3
0.033242512,1.3283391,0.09503774,-0.38033718,0.033104032,0.07394996,0.0,0.0,3
0.03421688,1.3203244,0.0936379,-0.35629088,0.036856025,0.075040005,0.0,0.0,2
0.035191346,1.3117101,0.093637966,-0.3829587,0.040608004,0.07503993,0.0,0.0,0
0.036225893,1.3025066,0.10120325,-0.40910524,0.042838167,0.044603515,0.0,0.0,3
0.037260532,1.2927033,0.1012033,-0.43577233,0.045068335,0.0446035,0.0,0.0,0
0.03837719,1.2822974,0.11148952,-0.4624858,0.045241453,0.0034623402,0.0,0.0,3
0.039562702,1.2712861,0.12011673,-0.48933986,0.04369185,-0.030992026,0.0,0.0,3
0.04067421,1.259667,0.110834196,-0.51641554,0.044006202,0.006287118,0.0,0.0,1
0.04184828,1.2474469,0.118671,-0.5430787,0.042752594,-0.025072182,0.0,0.0,3
0.04309883,1.2346331,0.12827118,-0.56941277,0.03957278,-0.06359634,0.0,0.0,3
0.04434929,1.2212195,0.12827124,-0.5960802,0.036392957,-0.063596316,0.0,0.0,0
0.045698453,1.2072145,0.14064905,-0.6223144,0.030729972,-0.11325947,0.0,0.0,3
0.047047615,1.19261,0.1406492,-0.6489837,0.025067018,-0.11325921,0.0,0.0,0
0.04849453,1.1774149,0.15291987,-0.67521775,0.016943345,-0.16247346,0.0,0.0,3
0.04990835,1.1622245,0.14974059,-0.6750634,0.008698632,-0.16489455,0.0,0.0,2
0.05123415,1.1464269,0.13868108,-0.7020894,0.00266988,-0.12057489,0.0,0.0,1
0.05269451,1.130941,0.15150818,-0.68825734,-0.0027282226,-0.107962,0.0,0.0,2
0.054248713,1.1148654,0.16328195,-0.7145113,-0.010483724,-0.1551105,0.0,0.0,3
0.055897903,1.098192,0.17518106,-0.7411427,-0.020621916,-0.20276387,0.0,0.0,3
0.057546996,1.0809201,0.17518084,-0.76781785,-0.030760022,-0.2027624,0.0,0.0,0
0.059179116,1.0645202,0.17369126,-0.72913086,-0.041116428,-0.20712774,0.0,0.0,2
0.06074562,1.047519,0.16547588,-0.75588614,-0.049830228,-0.17427613,0.0,0.0,1
0.062321376,1.0306575,0.16645983,-0.7497126,-0.058615252,-0.17570037,0.0,0.0,2
0.06381378,1.0132086,0.15599158,-0.7757842,-0.06529418,-0.13357843,0.0,0.0,1
0.06530619,0.9951605,0.15599126,-0.8024546,-0.07197308,-0.133578,0.0,0.0,0
0.06679869,0.9765128,0.15599087,-0.829125,-0.07865197,-0.13357763,0.0,0.0,0
0.06851454,0.95811653,0.17749557,-0.8179352,-0.08450671,-0.117094755,0.0,0.0,2
0.070342824,0.93973017,0.18838067,-0.8174963,-0.090001464,-0.10989497,0.0,0.0,2
0.07217121,0.9207441,0.18838033,-0.84416544,-0.09549619,-0.10989477,0.0,0.0,0
0.07392903,0.9011743,0.17950794,-0.87000936,-0.09919247,-0.07392546,0.0,0.0,1
0.075777434,0.88098735,0.19088934,-0.89761126,-0.105191864,-0.119987704,0.0,0.0,3
0.0776865,0.860189,0.19849576,-0.92492294,-0.112731695,-0.15079683,0.0,0.0,3
0.0795186,0.8401128,0.1916115,-0.89293087,-0.1210837,-0.16703986,0.0,0.0,2
