Episode No,X Coordinate,Y Coordinate,Linear Veocity X,Linear Velocity Y,Angle,Angular Velocity,Leg1,Leg2,Action
3900,0.003372765,1.4149599,0.34159988,0.1795428,-0.003901317,-0.07737751,0,0,1
3900,0.006668472,1.4184171,0.33149207,0.15364759,-0.005790563,-0.03778776,0,0,0
3900,0.009964275,1.4212749,0.33149788,0.12700513,-0.007678775,-0.037767645,0,0,2
3900,0.013310147,1.4243876,0.33627254,0.13833508,-0.009347837,-0.033384375,0,0,1
3900,0.016593361,1.4269115,0.3284033,0.1121713,-0.009436121,-0.00176563,0,0,2
3900,0.019722844,1.4299592,0.3138201,0.13545012,-0.010292685,-0.017133083,0,0,2
3900,0.022889042,1.4337445,0.3173556,0.1682363,-0.011016573,-0.014479084,0,0,3
3900,0.026134491,1.4369228,0.32728827,0.14122833,-0.013733032,-0.054334305,0,0,3
3900,0.029464627,1.4395014,0.3379072,0.11455567,-0.018575279,-0.09685394,0,0,3
3900,0.03287401,1.4414845,0.34785435,0.08803944,-0.02540594,-0.13662554,0,0,2
3900,0.036220647,1.4435978,0.3419322,0.09378691,-0.03259228,-0.14374015,0,0,1
3900,0.039508153,1.4451264,0.3344896,0.0678016,-0.038273897,-0.11364277,0,0,3
3900,0.04286804,1.4460545,0.34355915,0.041035198,-0.04577016,-0.14993879,0,0,2
3900,0.04618578,1.4476397,0.33974022,0.07019146,-0.05364369,-0.15748522,0,0,3
3900,0.049584676,1.4486163,0.34988672,0.04302522,-0.06355199,-0.1981843,0,0,3
3900,0.053046037,1.4489989,0.35770115,0.016479906,-0.07501202,-0.22922108,0,0,3
3900,0.056591798,1.44877,0.3682733,-0.010915318,-0.08859655,-0.27171558,0,0,1
3900,0.06006365,1.447965,0.358944,-0.03651861,-0.10027246,-0.2335393,0,0,2
3900,0.063789465,1.4480588,0.3836043,0.00339568,-0.11123447,-0.21926002,0,0,2
3900,0.06761436,1.4486842,0.39343005,0.026947387,-0.12212722,-0.2178746,0,0,2
3900,0.07148628,1.4497986,0.3983137,0.048581593,-0.13321397,-0.22175455,0,0,2
3900,0.07558203,1.4513032,0.4200569,0.065906115,-0.14367491,-0.20923743,0,0,0
3900,0.07967825,1.4522092,0.4200829,0.039222095,-0.15413487,-0.20921788,0,0,1
3900,0.0836874,1.4525323,0.40913492,0.013492836,-0.1623653,-0.16462311,0,0,1
3900,0.0876051,1.4522697,0.39766338,-0.012318825,-0.16827089,-0.11812208,0,0,0
3900,0.0915205,1.4513865,0.39743727,-0.039932527,-0.17417623,-0.11810706,0,0,0
3900,0.0954359,1.4499037,0.39743653,-0.06660207,-0.18008156,-0.118106686,0,0,2
3900,0.09946175,1.4490683,0.40865064,-0.03787428,-0.1861732,-0.12183285,0,0,1
3900,0.1034256,1.4476526,0.40083694,-0.06348674,-0.19065325,-0.08960109,0,0,1
